node_id,ground_truth_label,split,evidence_source,email,ip,url,domain,file_node,file_hash,victim_account
TR_SAFE_01,SAFE,train,Excel_like_internal_v2,user@gmail.com,8.8.8.8,https://example.com/profile,example.com,report.pdf,,user_001
TR_SAFE_02,SAFE,train,Excel_like_internal_v2,support@company.com,1.1.1.1,https://company.com/help,company.com,invoice.pdf,,customer_002
TR_SAFE_03,SAFE,train,Excel_like_internal_v2,admin@school.edu,192.168.1.10,https://school.edu/portal,school.edu,lesson.docx,,student_003
TR_SAFE_04,SAFE,train,Excel_like_internal_v2,finance@local.vn,203.0.113.5,https://local.vn/payment,local.vn,receipt.xlsx,,account_004
TR_SAFE_05,SAFE,train,Excel_like_internal_v2,contact@shop.vn,8.8.4.4,https://shop.vn/order,shop.vn,order.csv,,buyer_005
TR_SAFE_06,SAFE,train,Excel_like_internal_v2,hr@office.vn,9.9.9.9,https://office.vn/career,office.vn,cv.pdf,,employee_006
TR_SAFE_07,SAFE,train,Excel_like_internal_v2,teacher@academy.edu,1.0.0.1,https://academy.edu/class,academy.edu,homework.docx,,student_007
TR_SAFE_08,SAFE,train,Excel_like_internal_v2,service@trusted.vn,208.67.222.222,https://trusted.vn/status,trusted.vn,status.txt,,client_008
TR_SUSP_01,SUSPICIOUS,train,Excel_like_internal_v2,verify@service-notice.net,198.51.100.12,http://secure-login-account.net/login,service-notice.net,account_update.html,,victim_011
TR_SUSP_02,SUSPICIOUS,train,Excel_like_internal_v2,confirm@billing-alert.org,198.51.100.25,http://billing-confirm.example.net,example.net,confirm_invoice.html,,victim_012
TR_SUSP_03,SUSPICIOUS,train,Excel_like_internal_v2,urgent@account-review.xyz,203.0.113.77,http://account-review.xyz/verify,account-review.xyz,notice.pdf,,victim_013
TR_SUSP_04,SUSPICIOUS,train,Excel_like_internal_v2,verify@bank-notice.net,198.51.100.33,http://bank-notice.net/update,bank-notice.net,bank_notice.doc,,victim_014
TR_SUSP_05,SUSPICIOUS,train,Excel_like_internal_v2,confirm@login-help.top,203.0.113.88,http://login-help.top/confirm,login-help.top,confirm.zip,,victim_015
TR_SUSP_06,SUSPICIOUS,train,Excel_like_internal_v2,urgent@delivery-check.org,198.51.100.41,http://delivery-check.org/account,delivery-check.org,delivery_notice.pdf,,victim_016
TR_SUSP_07,SUSPICIOUS,train,Excel_like_internal_v2,verify@wallet-review.live,203.0.113.90,http://wallet-review.live/security,wallet-review.live,wallet_check.html,,victim_017
TR_SUSP_08,SUSPICIOUS,train,Excel_like_internal_v2,confirm@support-center.xyz,198.51.100.52,http://support-center.xyz/login,support-center.xyz,support_form.html,,victim_018
TR_FRAUD_01,FRAUD,train,Excel_like_internal_v2,security@paypal-alert-verification.com,45.9.148.108,http://paypal-account-security-update.xyz/login,paypal-account-security-update.xyz,payload.exe,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,victim_021
TR_FRAUD_02,FRAUD,train,Excel_like_internal_v2,support@bank-account-warning.net,103.224.182.246,http://bank-alert-verification.top,bank-alert-verification.top,bank_update.scr,5d41402abc4b2a76b9719d911017c592a2c3d4b5f6e7f8a9b0c1d2e3f4a5b6c7,victim_022
TR_FRAUD_03,FRAUD,train,Excel_like_internal_v2,admin@crypto-airdrop-event.live,185.220.101.45,http://crypto-wallet-airdrop.live,crypto-wallet-airdrop.live,wallet.apk,d41d8cd98f00b204e9800998ecf8427e1234567890abcdef1234567890abcdef,victim_023
TR_FRAUD_04,FRAUD,train,Excel_like_internal_v2,service@secure-wallet-verification.top,91.219.236.222,http://binance-bonus-airdrop-event.xyz,binance-bonus-airdrop-event.xyz,bonus.jar,6f5902ac237024bdd0c176cb93063dc4abcdef1234567890abcdef1234567890,victim_024
TR_FRAUD_05,FRAUD,train,Excel_like_internal_v2,info@binance-bonus-event.xyz,185.165.171.7,http://microsoft-password-reset-alert.xyz,microsoft-password-reset-alert.xyz,reset.exe,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,victim_025
TR_FRAUD_06,FRAUD,train,Excel_like_internal_v2,alert@facebook-security-check.net,103.195.103.66,http://facebook-login-check-security.top,facebook-login-check-security.top,security_update.bat,5d41402abc4b2a76b9719d911017c592a2c3d4b5f6e7f8a9b0c1d2e3f4a5b6c7,victim_026
TR_FRAUD_07,FRAUD,train,Excel_like_internal_v2,support@instagram-verification-alert.com,176.123.26.92,http://instagram-verification-badge.xyz,instagram-verification-badge.xyz,badge_update.cmd,d41d8cd98f00b204e9800998ecf8427e1234567890abcdef1234567890abcdef,victim_027
TR_FRAUD_08,FRAUD,train,Excel_like_internal_v2,billing@netflix-payment-warning.top,185.107.56.121,http://netflix-payment-update-warning.top,netflix-payment-update-warning.top,payment_update.ps1,6f5902ac237024bdd0c176cb93063dc4abcdef1234567890abcdef1234567890,victim_028
TE_SAFE_01,SAFE,test,Excel_like_internal_v2,member@gmail.com,8.8.8.8,https://example.com/home,example.com,home.pdf,,safe_001
TE_SAFE_02,SAFE,test,Excel_like_internal_v2,info@university.edu,1.1.1.1,https://university.edu/library,university.edu,book.pdf,,safe_002
TE_SAFE_03,SAFE,test,Excel_like_internal_v2,orders@shop.vn,8.8.4.4,https://shop.vn/checkout,shop.vn,order.pdf,,safe_003
TE_SAFE_04,SAFE,test,Excel_like_internal_v2,admin@clinic.vn,9.9.9.9,https://clinic.vn/booking,clinic.vn,schedule.xlsx,,safe_004
TE_SAFE_05,SAFE,test,Excel_like_internal_v2,staff@company.com,208.67.222.222,https://company.com/intranet,company.com,policy.docx,,safe_005
TE_SAFE_06,SAFE,test,Excel_like_internal_v2,news@daily.vn,1.0.0.1,https://daily.vn/news,daily.vn,article.txt,,safe_006
TE_SAFE_07,SAFE,test,Excel_like_internal_v2,contact@museum.vn,8.26.56.26,https://museum.vn/ticket,museum.vn,ticket.pdf,,safe_007
TE_SAFE_08,SAFE,test,Excel_like_internal_v2,service@library.vn,8.20.247.20,https://library.vn/catalog,library.vn,catalog.csv,,safe_008
TE_SAFE_09,SAFE,test,Excel_like_internal_v2,help@bank.vn,203.0.113.5,https://bank.vn/support,bank.vn,support.pdf,,safe_009
TE_SAFE_10,SAFE,test,Excel_like_internal_v2,school@edu.vn,192.168.1.10,https://edu.vn/class,edu.vn,class.docx,,safe_010
TE_SAFE_11,SAFE,test,Excel_like_internal_v2,account@service.vn,8.8.8.8,https://service.vn/account,service.vn,profile.pdf,,safe_011
TE_SAFE_12,SAFE,test,Excel_like_internal_v2,verify@trusted.vn,1.1.1.1,http://trusted.vn/verify-login,trusted.vn,verify_profile.pdf,,safe_012
TE_SAFE_13,SAFE,test,Excel_like_internal_v2,confirm@clinic.vn,9.9.9.9,http://clinic.vn/confirm-account,clinic.vn,booking.pdf,,safe_013
TE_SAFE_14,SAFE,test,Excel_like_internal_v2,security@company.com,208.67.220.220,https://company.com/security-policy,company.com,policy.pdf,,safe_014
TE_SAFE_15,SAFE,test,Excel_like_internal_v2,update@software.vn,8.8.4.4,https://software.vn/update-notes,software.vn,release.txt,,safe_015
TE_SAFE_16,SAFE,test,Excel_like_internal_v2,billing@store.vn,8.26.56.26,https://store.vn/billing,store.vn,bill.xlsx,,safe_016
TE_SAFE_17,SAFE,test,Excel_like_internal_v2,teacher@academy.edu,1.0.0.1,http://academy.edu/login,academy.edu,student_guide.pdf,,safe_017
TE_SAFE_18,SAFE,test,Excel_like_internal_v2,support@office.vn,192.168.1.10,http://office.vn/account-help,office.vn,help.pdf,,safe_018
TE_SAFE_19,SAFE,test,Excel_like_internal_v2,notice@local.vn,203.0.113.5,https://local.vn/notice,local.vn,notice.pdf,,safe_019
TE_SAFE_20,SAFE,test,Excel_like_internal_v2,mail@family.vn,8.8.8.8,https://family.vn/gallery,family.vn,photo.jpg,,safe_020
TE_SAFE_21,SAFE,test,Excel_like_internal_v2,ops@company.com,208.67.222.222,https://company.com/status,company.com,status.txt,,safe_021
TE_SAFE_22,SAFE,test,Excel_like_internal_v2,report@ngo.org,1.1.1.1,https://ngo.org/report,ngo.org,report.pdf,,safe_022
TE_SAFE_23,SAFE,test,Excel_like_internal_v2,customer@retail.vn,9.9.9.9,https://retail.vn/order,retail.vn,invoice.pdf,,safe_023
